product_id,attribute_name,attribute_value,status,source_document_id,source_chunk_id,confidence,reviewed_at,reviewer,notes
0,Mounting Height,86mm,APPROVED,,,,,,
0,Dimensions,86mm x 54.5mm,APPROVED,,,,,,
20240904E,Temperature Range,-40° to 158°F,APPROVED,,,,,,
20240904E,Humidity Range,5 to 95% RH,APPROVED,,,,,,
20240904E,Mounting,Actuator screws onto valve body,APPROVED,,,,,,
20240904E,Driving Power Consumption,Low,APPROVED,,,,,,
20240904I,Control Mode,On/Off type,APPROVED,,,,,,
20240904I,Control Signal,3-wire,APPROVED,,,,,,
20240904I,Control Signal,2-wire,APPROVED,,,,,,
ALER9000,CPU,iMX8M+ Quad Core,APPROVED,,,,,,
ALER9000,RAM,2GB LPDDR4,APPROVED,,,,,,
ALER9000,Storage,8GB micro-SD card,APPROVED,,,,,,
ALER9000,WiFi,WiFi 5 (802.11ac),APPROVED,,,,,,
CN1000305,Operating Range,43191679-011,APPROVED,,,,,,
CN1000305,Stroke,20/38mm,APPROVED,,,,,,
DECO,Dimensions,3 -19/32 ” (91.2mm),APPROVED,,,,,,
E0001535,Valve Insert,kvs 0.25,APPROVED,,,,,,
E0001535,Valve Insert,kvs 0.40,APPROVED,,,,,,
E0001535,Valve Insert,kvs 0.63,APPROVED,,,,,,
E0001536,Valve Insert,kvs 0.25,APPROVED,,,,,,
E0001536,Valve Insert,kvs 0.40,APPROVED,,,,,,
E0001536,Valve Insert,kvs 0.63,APPROVED,,,,,,
E0001544,Valve Insert,kvs 0.25,APPROVED,,,,,,
E0001544,Valve Insert,kvs 0.40,APPROVED,,,,,,
E0001544,Valve Insert,kvs 0.63,APPROVED,,,,,,
E0001546,Valve Insert,kvs 0.25,APPROVED,,,,,,
E0001546,Valve Insert,kvs 0.40,APPROVED,,,,,,
E0001546,Valve Insert,kvs 0.63,APPROVED,,,,,,
E0001547,Valve Insert,kvs 0.25,APPROVED,,,,,,
E0001547,Valve Insert,kvs 0.40,APPROVED,,,,,,
E0001547,Valve Insert,kvs 0.63,APPROVED,,,,,,
E0001817,Gas Detection,Componenti off-gas delle batterie al litio,APPROVED,,,,,,
E0001817,Temperature Range,-10 to +60oC,APPROVED,,,,,,
E0001817,Humidity Range,5-95% RH,APPROVED,,,,,,
E0001817,Response Time,5 secondi,APPROVED,,,,,,
E0001818,Gas Detection,Componenti off-gas delle batterie al litio,APPROVED,,,,,,
E0001818,Temperature Range,-10 to +60oC,APPROVED,,,,,,
E0001818,Humidity Range,5-95% RH,APPROVED,,,,,,
E0001818,Response Time,5 secondi,APPROVED,,,,,,
E0001822,Gas Detection,Componenti off-gas delle batterie al litio,APPROVED,,,,,,
E0001822,Temperature Range,-10 to +60oC,APPROVED,,,,,,
E0001822,Humidity Range,5-95% RH,APPROVED,,,,,,
E0001822,Response Time,5 secondi,APPROVED,,,,,,
E0004167,Supply Voltage,Adequate,APPROVED,,,,,,
E0004168,Supply Voltage,Adequate,APPROVED,,,,,,
E0004178,Stroke,20/38mm,APPROVED,,,,,,
E0004178,Force,600 N,APPROVED,,,,,,
E0004181,Stroke,20/38mm,APPROVED,,,,,,
E0004181,Force,600 N,APPROVED,,,,,,
E0004182,Stroke,20/38mm,APPROVED,,,,,,
E0004182,Force,600 N,APPROVED,,,,,,
EP00017,Supply Voltage,200-250V,APPROVED,,,,,,
EP00018,Supply Voltage,200-250V,APPROVED,,,,,,
EP00019,Supply Voltage,200-250V,APPROVED,,,,,,
EP00020,Supply Voltage,200-250V,APPROVED,,,,,,
EP00021,Supply Voltage,200-250V,APPROVED,,,,,,
EP00022,Supply Voltage,200-250V,APPROVED,,,,,,
EP00023,Supply Voltage,200-250V,APPROVED,,,,,,
EP00024,Supply Voltage,200-250V,APPROVED,,,,,,
EP00025,Supply Voltage,200-250V,APPROVED,,,,,,
EP00026,Supply Voltage,200-250V,APPROVED,,,,,,
EP00027,Supply Voltage,200-250V,APPROVED,,,,,,
EP00028,Supply Voltage,200-250V,APPROVED,,,,,,
EP00029,Supply Voltage,200-250V,APPROVED,,,,,,
EP00030,Supply Voltage,200-250V,APPROVED,,,,,,
EP00109,Supply Voltage,200-250V,APPROVED,,,,,,
EP00110,Supply Voltage,200-250V,APPROVED,,,,,,
EP00111,Supply Voltage,200-250V,APPROVED,,,,,,
EP00112,Supply Voltage,200-250V,APPROVED,,,,,,
EP4-006,Supply Voltage,200-250V,APPROVED,,,,,,
EP4-008,Supply Voltage,200-250V,APPROVED,,,,,,
EP5-002,Supply Voltage,200-250V,APPROVED,,,,,,
EP5-023,Supply Voltage,200-250V,APPROVED,,,,,,
EP5-028,Supply Voltage,200-250V,APPROVED,,,,,,
EP5-035,Supply Voltage,200-250V,APPROVED,,,,,,
EP5-062,Supply Voltage,200-250V,APPROVED,,,,,,
EP5-063,Supply Voltage,200-250V,APPROVED,,,,,,
EP5-065,Supply Voltage,200-250V,APPROVED,,,,,,
EP6-007,Supply Voltage,200-250V,APPROVED,,,,,,
EP6-018,Mounting Height,Not specified,APPROVED,,,,,,
EP6-018,Technology,PIR,APPROVED,,,,,,
EP6-061,Mounting Height,Not specified,APPROVED,,,,,,
EP6-061,Technology,PIR,APPROVED,,,,,,
EP6-063,Supply Voltage,200-250V,APPROVED,,,,,,
HVFD3G,Input Voltage,208/230V AC,APPROVED,,,,,,
IQ5IO816,Number of Digital Inputs,16,APPROVED,,,,,,
IQ5IO816,Number of Digital Outputs,8,APPROVED,,,,,,
K2766,Supply Voltage,200-250V,APPROVED,,,,,,
M2M-EP,Supply Voltage,200-250V,APPROVED,,,,,,
M2M-FIRE,Ambient Temperature,-25°C / 70°C,APPROVED,,,,,,
ML6421A300,Operating Range,10 kohm,APPROVED,,,,,,
ML7421AB00,Operating Range,10 kohm,APPROVED,,,,,,
P00500100,CPU,i.MX 8M Plus,APPROVED,,,,,,
P00500100,RAM,2 GB,APPROVED,,,,,,
P00500100,Storage,8 GB,APPROVED,,,,,,
P00500100,Operating System,LINUX 64-bit,APPROVED,,,,,,
P1603890113160661,Input Voltage,12VDC,APPROVED,,,,,,
P1902522,Height,50mm,APPROVED,,,,,,
P1902523,Height,50mm,APPROVED,,,,,,
P1902525,Height,50mm,APPROVED,,,,,,
P1902526,Height,50mm,APPROVED,,,,,,
P1902527,Height,50mm,APPROVED,,,,,,
P1904391,Operating Range,43191679-011,APPROVED,,,,,,
P1904391,Operating Range,43191679-012,APPROVED,,,,,,
P1904392,Operating Range,43191679-011,APPROVED,,,,,,
P1904392,Operating Range,43191679-012,APPROVED,,,,,,
P1904394,Operating Range,43191679-011,APPROVED,,,,,,
P1904394,Operating Range,43191679-012,APPROVED,,,,,,
P1904587,Height,50mm,APPROVED,,,,,,
P1904588,Height,50mm,APPROVED,,,,,,
P1904589,Height,50mm,APPROVED,,,,,,
P1904613,Input Voltage,12VDC,APPROVED,,,,,,
P1904613,Current Consumption,300mA,APPROVED,,,,,,
P1904653,Supply Voltage,230 VAC,APPROVED,,,,,,
P1904653,Supply Voltage,24 VAC,APPROVED,,,,,,
P1904654,Supply Voltage,230 VAC,APPROVED,,,,,,
P1904654,Supply Voltage,24 VAC,APPROVED,,,,,,
P1904686,Input Voltage,24 VAC,APPROVED,,,,,,
P1904755,Supply Voltage,230 VAC,APPROVED,,,,,,
P1904755,Supply Voltage,24 VAC,APPROVED,,,,,,
P1904755,Current Rating,300 mA,APPROVED,,,,,,
P1904755,Current Rating,600 mA,APPROVED,,,,,,
P1904755,Analogue Outputs,6,APPROVED,,,,,,
P1904755,Output Voltage,0…10 VDC,APPROVED,,,,,,
P1904761,Supply Voltage,230 VAC,APPROVED,,,,,,
P1904761,Supply Voltage,24 VAC,APPROVED,,,,,,
P1904761,Current Rating,300 mA,APPROVED,,,,,,
P1904761,Current Rating,600 mA,APPROVED,,,,,,
P1904761,Analogue Outputs,6,APPROVED,,,,,,
P1904761,Output Voltage,0…10 VDC,APPROVED,,,,,,
P1904762,Supply Voltage,230 VAC,APPROVED,,,,,,
P1904762,Supply Voltage,24 VAC,APPROVED,,,,,,
P1904762,Current Rating,300 mA,APPROVED,,,,,,
P1904762,Current Rating,600 mA,APPROVED,,,,,,
P1904762,Analogue Outputs,6,APPROVED,,,,,,
P1904762,Output Voltage,0…10 VDC,APPROVED,,,,,,
P1904775,Supply Voltage,230 VAC,APPROVED,,,,,,
P1904775,Supply Voltage,24 VAC,APPROVED,,,,,,
P1904775,Current Rating,300 mA,APPROVED,,,,,,
P1904775,Current Rating,600 mA,APPROVED,,,,,,
P1904775,Analogue Outputs,6,APPROVED,,,,,,
P1904775,Output Voltage,0…10 VDC,APPROVED,,,,,,
P1904778,Supply Voltage,230 VAC,APPROVED,,,,,,
P1904778,Supply Voltage,24 VAC,APPROVED,,,,,,
P1904778,Current Rating,300 mA,APPROVED,,,,,,
P1904778,Current Rating,600 mA,APPROVED,,,,,,
P1904778,Analogue Outputs,6,APPROVED,,,,,,
P1904778,Output Voltage,0…10 VDC,APPROVED,,,,,,
P1904780,Supply Voltage,230 VAC,APPROVED,,,,,,
P1904780,Supply Voltage,24 VAC,APPROVED,,,,,,
P1904780,Current Rating,300 mA,APPROVED,,,,,,
P1904780,Current Rating,600 mA,APPROVED,,,,,,
P1904780,Analogue Outputs,6,APPROVED,,,,,,
P1904780,Output Voltage,0…10 VDC,APPROVED,,,,,,
P1904785,Supply Voltage,230 VAC,APPROVED,,,,,,
P1904785,Supply Voltage,24 VAC,APPROVED,,,,,,
P1904785,Current Rating,300 mA,APPROVED,,,,,,
P1904785,Current Rating,600 mA,APPROVED,,,,,,
P1904785,Analogue Outputs,6,APPROVED,,,,,,
P1904785,Output Voltage,0…10 VDC,APPROVED,,,,,,
P1904797,Supply Voltage,230 VAC,APPROVED,,,,,,
P1904797,Supply Voltage,24 VAC,APPROVED,,,,,,
P1904797,Current Rating,300 mA,APPROVED,,,,,,
P1904797,Current Rating,600 mA,APPROVED,,,,,,
P1904797,Analogue Outputs,6,APPROVED,,,,,,
P1904797,Output Voltage,0…10 VDC,APPROVED,,,,,,
P1904798,Supply Voltage,230 VAC,APPROVED,,,,,,
P1904798,Supply Voltage,24 VAC,APPROVED,,,,,,
P1904798,Current Rating,300 mA,APPROVED,,,,,,
P1904798,Current Rating,600 mA,APPROVED,,,,,,
P1904798,Analogue Outputs,6,APPROVED,,,,,,
P1904798,Output Voltage,0…10 VDC,APPROVED,,,,,,
P1904831,Operating System,SQL,APPROVED,,,,,,
P1904831,Operating System,MySQL,APPROVED,,,,,,
P1904836,Operating System,SQL,APPROVED,,,,,,
P1904836,Operating System,MySQL,APPROVED,,,,,,
P1904885,Processor,Core i5-3470,APPROVED,,,,,,
P1904885,Supply Voltage Frequency,3.2GHz,APPROVED,,,,,,
P1904898,Processor,Core i5-3470,APPROVED,,,,,,
P1904898,Supply Voltage Frequency,3.2GHz,APPROVED,,,,,,
P1904899,Processor,Core i5-3470,APPROVED,,,,,,
P1904899,Supply Voltage Frequency,3.2GHz,APPROVED,,,,,,
P1904911,Processor,Core i5-3470,APPROVED,,,,,,
P1904911,Supply Voltage Frequency,3.2GHz,APPROVED,,,,,,
P1905310,Processor,Core i5-3470,APPROVED,,,,,,
P1905310,Supply Voltage Frequency,3.2GHz,APPROVED,,,,,,
P1905612,Processor,Core i5-3470,APPROVED,,,,,,
P1905612,Supply Voltage Frequency,3.2GHz,APPROVED,,,,,,
P1905613,Processor,Core i5-3470,APPROVED,,,,,,
P1905613,Supply Voltage Frequency,3.2GHz,APPROVED,,,,,,
P1905788,System Management,Centralized,APPROVED,,,,,,
P1905883,Energy Management,EMS,APPROVED,,,,,,
P1905884,Energy Management,EMS,APPROVED,,,,,,
P1906011,Flame Detector,40/40,APPROVED,,,,,,
P1906354,CO2 Measurement,0 to 2000 ppm,APPROVED,,,,,,
P1906354,Accuracy,± (30 ppm +2% of reading),APPROVED,,,,,,
P1906665,CO2 Measurement,0 to 2000 ppm,APPROVED,,,,,,
P1906665,Accuracy,±(50 ppm + 2% of measured value),APPROVED,,,,,,
P1906677,Actuator,V5011,APPROVED,,,,,,
P1906677,Actuator,V5013,APPROVED,,,,,,
P1906677,Actuator,V5016A,APPROVED,,,,,,
P1906677,Actuator,V5025,APPROVED,,,,,,
P1906677,Actuator,V5049,APPROVED,,,,,,
P1906677,Actuator,V5050,APPROVED,,,,,,
P1906678,Potentiometer Resistance,10 kohm,APPROVED,,,,,,
P1906678,Feedback Potentiometer Resistance,220 ohm,APPROVED,,,,,,
P1906678,Linear Actuator Stroke,20/38mm,APPROVED,,,,,,
P1906678,Valve Series,"V5011, V5013, V5016A, V5025, V5049, V5050, V5328, V5329",APPROVED,,,,,,
P1906683,Potentiometer Resistance,10 kohm,APPROVED,,,,,,
P1906683,Feedback Potentiometer Resistance,220 ohm,APPROVED,,,,,,
P1906683,Linear Actuator Stroke,20/38mm,APPROVED,,,,,,
P1906683,Valve Series,"V5011, V5013, V5016A, V5025, V5049, V5050, V5328, V5329",APPROVED,,,,,,
P1906685,Potentiometer Resistance,10 kohm,APPROVED,,,,,,
P1906685,Feedback Potentiometer Resistance,220 ohm,APPROVED,,,,,,
P1906685,Linear Actuator Stroke,20/38mm,APPROVED,,,,,,
P1906685,Valve Series,"V5011, V5013, V5016A, V5025, V5049, V5050, V5328, V5329",APPROVED,,,,,,
P1906686,Potentiometer Resistance,10 kohm,APPROVED,,,,,,
P1906686,Feedback Potentiometer Resistance,220 ohm,APPROVED,,,,,,
P1906686,Linear Actuator Stroke,20/38mm,APPROVED,,,,,,
P1906686,Valve Series,"V5011, V5013, V5016A, V5025, V5049, V5050, V5328, V5329",APPROVED,,,,,,
P1906687,Potentiometer Resistance,10 kohm,APPROVED,,,,,,
P1906687,Feedback Potentiometer Resistance,220 ohm,APPROVED,,,,,,
P1906687,Linear Actuator Stroke,20/38mm,APPROVED,,,,,,
P1906687,Valve Series,"V5011, V5013, V5016A, V5025, V5049, V5050, V5328, V5329",APPROVED,,,,,,
P1906688,Potentiometer Resistance,10 kohm,APPROVED,,,,,,
P1906688,Feedback Potentiometer Resistance,220 ohm,APPROVED,,,,,,
P1906688,Linear Actuator Stroke,20/38mm,APPROVED,,,,,,
P1906688,Valve Series,"V5011, V5013, V5016A, V5025, V5049, V5050, V5328, V5329",APPROVED,,,,,,
P1906690,Potentiometer Resistance,10 kohm,APPROVED,,,,,,
P1906690,Feedback Potentiometer Resistance,220 ohm,APPROVED,,,,,,
P1906690,Linear Actuator Stroke,20/38mm,APPROVED,,,,,,
P1906690,Valve Series,"V5011, V5013, V5016A, V5025, V5049, V5050, V5328, V5329",APPROVED,,,,,,
P1906691,Potentiometer Resistance,10 kohm,APPROVED,,,,,,
P1906691,Feedback Potentiometer Resistance,220 ohm,APPROVED,,,,,,
P1906691,Linear Actuator Stroke,20/38mm,APPROVED,,,,,,
P1906691,Valve Series,"V5011, V5013, V5016A, V5025, V5049, V5050, V5328, V5329",APPROVED,,,,,,
P1906692,Potentiometer Resistance,10 kohm,APPROVED,,,,,,
P1906692,Feedback Potentiometer Resistance,220 ohm,APPROVED,,,,,,
P1906692,Linear Actuator Stroke,20/38mm,APPROVED,,,,,,
P1906692,Valve Series,"V5011, V5013, V5016A, V5025, V5049, V5050, V5328, V5329",APPROVED,,,,,,
P1906884,Potentiometer Resistance,10 kohm,APPROVED,,,,,,
P1906884,Feedback Potentiometer Resistance,220 ohm,APPROVED,,,,,,
P1906884,Linear Actuator Stroke,20/38mm,APPROVED,,,,,,
P1906884,Valve Series,"V5011, V5013, V5016A, V5025, V5049, V5050, V5328, V5329",APPROVED,,,,,,
P1906885,Temperature Setpoint Dials,"Fahrenheit, Celsius, and Relative (- to +)",APPROVED,,,,,,
P1906885,Operating Temperature Range,7 °C to 37 °C (45 °F to 99 °F),APPROVED,,,,,,
P1907046,Switch Housing Material,GD AI Si 12 according to DIN 1725,APPROVED,,,,,,
P1907046,Mounting Position,Vertically upright and horizontal,APPROVED,,,,,,
P1907076,Potentiometer Resistance,10 kohm,APPROVED,,,,,,
P1907076,Feedback Potentiometer Resistance,220 ohm,APPROVED,,,,,,
P1907076,Linear Actuator Stroke,20/38mm,APPROVED,,,,,,
P1907076,Valve Series,"V5011, V5013, V5016A, V5025, V5049, V5050, V5328, V5329",APPROVED,,,,,,
P1907078,Potentiometer Resistance,10 kohm,APPROVED,,,,,,
